"","Name","n","MeanLeadTime","MeanGoal","MeanRevenue","MeanFundraising","MeanSelfDonnation","DistanceTraveled","FinanciallyCont","SelfDonated","Fundraised","ModifiedGoal","Onteam","UpdatedPersonalPage","SentEmails","CompletedReg","ProvidedParticipationReason","MeanTeamGoal","RepeatParticipant"
"511","12c9e51ac3078c180c98cb226373fbd79575da51",1,5.33125,250,0,0,0,0,"No","No","No","No","Yes","No","No","No","No",1500,"No"
"512","12e98302a93bcc40728e5392388c141ec661a769",1,3.777777778,0,0,0,0,7.256976472,"No","No","No","Yes","Yes","No","No","No","No",1000,"No"
"513","12ee075e8792b21879f06996815295bf831f4582",1,165.7277778,250,0,0,0,12.48374845,"No","No","No","No","Yes","No","No","No","No",3000,"No"
"514","12f3d1ea8bafc28693b31ed75bc343031dd21caf",1,6.677083333,250,0,0,0,14.6960072,"No","No","No","No","No","Yes","No","No","No",0,"No"
"515","12f59e1ef4483afefa6fe2e7debc6145db47cc16",1,1.49375,250,0,0,0,9.98920112,"No","No","No","No","No","No","No","No","No",0,"No"
"516","12f5ad452ac4dfaa58d2d3e237671ca13491b48b",1,12.98888889,250,0,0,0,24.90145319,"No","No","No","No","Yes","Yes","No","No","No",250,"No"
"517","1314279da06ed53686d7128f6490ada3c48c679f",1,20.02152778,0,0,0,0,15.15376881,"No","No","No","Yes","Yes","No","No","Yes","Yes",0,"No"
"518","1316a77face4466374cdea7f2db477c0b1989751",1,-2.072916667,0,0,0,0,13.04794399,"No","No","No","Yes","No","No","No","No","No",0,"No"
"519","1319655586a574ccd2754cde2b59b2cdc180f2af",1,90.01458333,250,25,0,25,0,"Yes","Yes","No","No","Yes","No","No","No","No",5000,"No"
"520","132d3ebcda296245aed53ff4101992154a299db5",1,1.574305556,0,0,0,0,4.404280624,"No","No","No","Yes","Yes","No","No","No","No",8000,"No"
"521","133474524855beec5e46b2dd603bd29a094999d0",1,0.34375,0,0,0,0,35.40972282,"No","No","No","Yes","No","No","No","No","No",0,"No"
"522","13419387d87e20b406947071499ffe52d1688873",1,46.98958333,100,100,100,0,10.79746835,"Yes","No","Yes","Yes","Yes","No","No","No","No",8000,"No"
"523","13544cb078a7573d8026b9f428e89e56a6405fa1",1,23.94652778,100,100,5,95,6.47049281,"Yes","Yes","Yes","Yes","Yes","Yes","No","No","No",0,"No"
"524","135a6ab7ec4b98ee913d5b18f5e604ff4df97626",1,1.938194444,0,0,0,0,8.174472391,"No","No","No","Yes","No","No","No","No","No",0,"No"
"525","135bf5c18b825cb009d0bf77442ac3425f37d67d",1,96.82430556,0,0,0,0,8.318665992,"No","No","No","Yes","No","No","No","No","No",0,"No"
"526","1360dbd6687af7d5d9dd929e9a3ee5ee2c3dfc4f",1,13.01041667,20,0,0,0,74.23279989,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"527","1363efb142535dda823f264bada3faac14edcb12",1,-5.088888889,0,0,0,0,23.97058647,"No","No","No","Yes","No","No","No","No","No",0,"No"
"528","136c31f6f962268061d1f64841cc37ed1f85a55a",1,0.307638889,250,0,0,0,14.56109296,"No","No","No","No","Yes","No","No","No","No",0,"No"
"529","136fdcba2bee59a7e78bfe8170157f921c496d50",1,-2.21875,0,40,40,0,2.389110688,"Yes","No","Yes","Yes","No","No","No","No","No",0,"No"
"530","1372a73b941b5da7e5737ee0334129b986836350",1,31.46319444,250,50,0,50,30.73485682,"Yes","Yes","No","No","Yes","No","No","Yes","Yes",2000,"No"
"531","1394d7a445abcaf2039dfb6d83597a1d3ca20430",1,20.32083333,250,0,0,0,42.48342691,"No","No","No","No","No","No","No","Yes","Yes",0,"No"
"532","13a1719fbdfbec47308a85edaef9aeee1e89267a",1,4.377777778,250,10,0,10,13.68860372,"Yes","Yes","No","No","Yes","No","No","No","No",0,"No"
"533","13a1f31bb6b76209c7087665fcd50a2f88cfa719",1,39.04444444,250,0,0,0,8.810848157,"No","No","No","No","Yes","No","No","No","No",2500,"No"
