"Walk Name","Walk Zip","Zip","lng_start","lat_start","lng_end","lat_end","distance_metres","distance_miles","zip.range"
"2017 Tampa Kidney Walk","33602","33523",-82.46,27.95,-82.3,28.4,52496.6147623181,32.6198740114763,"[0-50]"
"2017 Tampa Kidney Walk","33602","33556",-82.46,27.95,-82.6,28.2,31041.7259550662,19.2884282984255,"[0-50]"
"2017 Tampa Kidney Walk","33602","34668",-82.46,27.95,-82.71,28.31,46993.0085481368,29.2000927145643,"[0-50]"
"2017 Tampa Kidney Walk","33602","33511",-82.46,27.95,-82.3,27.9,16692.5128873876,10.3722434253489,"[0-50]"
"2017 Tampa Kidney Walk","33602","34669",-82.46,27.95,-82.61,28.35,46898.6604305826,29.1414675304115,"[0-50]"
"2017 Tampa Kidney Walk","33602","33773",-82.46,27.95,-82.75,27.88,29571.4830819113,18.3748620140903,"[0-50]"
"2017 Tampa Kidney Walk","33602","33781",-82.46,27.95,-82.71,27.84,27475.7547989869,17.0726372352013,"[0-50]"
"2017 Tampa Kidney Walk","33602","33772",-82.46,27.95,-82.8,27.84,35621.654932637,22.1342633471476,"[0-50]"
"2017 Tampa Kidney Walk","33602","32065",-82.46,27.95,-81.81,30.15,252938.00475572,157.168340953066,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33572",-82.46,27.95,-82.4,27.77,20889.4883285796,12.9801222522178,"[0-50]"
"2017 Tampa Kidney Walk","33602","30349",-82.46,27.95,-84.5,33.6,658474.78415729,409.1571351066,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33635",-82.46,27.95,-82.61,28.02,16677.7984703422,10.363100313315,"[0-50]"
"2017 Tampa Kidney Walk","33602","32714",-82.46,27.95,-81.42,28.67,129662.912726687,80.5687737438945,"[51-100]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33572",-82.46,27.95,-82.4,27.77,20889.4883285796,12.9801222522178,"[0-50]"
"2017 Tampa Kidney Walk","33602","33647",-82.46,27.95,-82.35,28.12,21793.3238805833,13.5417394530019,"[0-50]"
"2017 Tampa Kidney Walk","33602","33565",-82.46,27.95,-82.15,28.1,34738.8744964551,21.5857291847368,"[0-50]"
"2017 Tampa Kidney Walk","33602","33544",-82.46,27.95,-82.37,28.25,34545.4657360304,21.4655505898629,"[0-50]"
"2017 Tampa Kidney Walk","33602","33619",-82.46,27.95,-82.38,27.9,9638.20821908093,5.98890307929854,"[0-50]"
